formula,SIC,,,,,,
Li(Fe2O3)4,0.026610123,,,,,,
Li(Fe3Ge2)2,0.34969652,,,,,,
Li(Fe3P2)2,0.19705987,,,,,,
Li(FeGe)6,0.19544065,,,,,,
Li(FeN)2,0.0666841,,,,,,
Li(FeO2)2,0.047613612,,,,,,
Li(FeO2)3,0.02293045,,,,,,
Li(FeP)2,0.15344688,,,,,,
Li(FeS2)2,0.10807135,,,,,,
Li(H3N)4,0.05697326,,,,,,
Li(HoGe)4,0.20625177,,,,,,
Li(HoS2)3,0.38229507,,,,,,
Li(LuGe)4,0.20629123,,,,,,
Li(Mg2Si)2,0.8251213,,,,,,
Li(Mg2Si)4,0.16956049,,,,,,
Li(Mg4Al3)4,0.541518213,,,,,,
Li(MnS2)2,0.10083145,,,,,,
Li(Mo3S4)2,0.209559855,,,,,,
Li(Mo3Se4)2,0.20141125,,,,,,
Li(Mo4O5)2,0.18279205,,,,,,
Li(MoO2)2,0.01844276,,,,,,
Li(MoO2)3,0.20477562,,,,,,
Li(MoO3)3,0.10054009,,,,,,
Li(MoSe)3,0.05521192,,,,,,
Li(NdGe)4,0.20625177,,,,,,
Li(NdSi)2,0.24968068,,,,,,
Li(NiGe)6,0.198,,,,,,
Li(NiO2)2,0.056801848,,,,,,
Li(NiO2)3,0.03225769,,,,,,
Li(NiO2)4,0.03166525,,,,,,
Li(NiO2)5,0.02960153,,,,,,
Li(NiP)2,0.15292127,,,,,,
Li(NiS)2,0.309521065,,,,,,
Li(NiS2)2,0.09675097,,,,,,
Li(NO)6,0.05053442,,,,,,
Li(PrGe)4,0.20625177,,,,,,
Li(PrGe3)2,0.32720333,,,,,,
Li(ReN2)3,0.02088698,,,,,,
Li(ReO3)4,0.11572106,,,,,,
Li(ReO3)5,0.11569105,,,,,,
Li(RuO2)2,0.0317258,,,,,,
Li(SeO3)2,0.08145311,,,,,,
Li(SiNi)6,0.17696647,,,,,,
Li(SiRh)2,0.25175756,,,,,,
Li(Sn3Pd)2,0.4709835,,,,,,
Li(TaS2)2,0.20959178,,,,,,
Li(TiS2)2,0.24249226,,,,,,
Li(TiS2)3,0.2031991,,,,,,
Li(TiSe2)3,0.06061812,,,,,,
Li(TiTe2)2,0.38192126,,,,,,
Li(TiTe2)5,0.20204869,,,,,,
Li(TmGe)4,0.20629123,,,,,,
Li(VS2)2,0.10531786,,,,,,
Li(WO2)2,0.01428556,,,,,,
Li(WO3)2,0.11993258,,,,,,
Li(YbGe)4,0.20625177,,,,,,
Li(YGe)4,0.20625177,,,,,,
Li(YSe2)3,0.38229507,,,,,,
Li(YSi)2,0.2495496,,,,,,
Li(ZrS2)2,0.24101722,,,,,,
Li10B14Cl2O25,0.7769321,,,,,,
Li10BrN3,0.91339266,,,,,,
Li10Co(SiO5)2,0.0762993,,,,,,
Li10Co3Ni7O20,0.13590262,,,,,,
Li10Co4O9,0.026198495,,,,,,
Li10CoNi9O20,0.099816245,,,,,,
Li10Cr(SiO5)2,0.05757064,,,,,,
Li10Cr2Fe3Co3O16,0.96441936,,,,,,
Li10Cr3Co2Ni3O16,0.9154562,,,,,,
Li10Cr3Fe3(NiO8)2,0.9570117,,,,,,
Li10Cr3P6(O4F)6,0.04743347,,,,,,
Li10Cu(SiO5)2,0.112694625,,,,,,
Li10Cu4S9,0.04028528,,,,,,
Li10Fe(SiO5)2,0.1272358,,,,,,
Li10Fe2Co3Ni3O16,0.9573661,,,,,,
Li10Fe3Co2Ni3O16,0.9608534,,,,,,
Li10Fe3Co3(NiO8)2,0.9121212,,,,,,
Li10Fe3Co7O20,0.07529299,,,,,,
Li10Fe3Ni7O20,0.07585529,,,,,,
Li10Fe3Sb7O24,0.07686535,,,,,,
Li10Fe4S9,0.03940694,,,,,,
Li10Fe5Co3O16,0.22744748,,,,,,
Li10Fe9CoO20,0.03862032,,,,,,
Li10FeCo9O20,0.08870317,,,,,,
Li10FeNi9O20,0.08908492,,,,,,
Li10Ge(PO6)2,0.017740587,,,,,,
Li10Ge(PS6)2,0.85290575,,,,,,
Li10Ge(PSe6)2,0.511184455,,,,,,
